alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.188837,0.001056,0.048283,0.036329,0.190751,0.227578,0.003170,0.365834,0.153616,0.707216,0.304812,0.001000,0.999998,0.003359
0.002511,0.000917,0.001468,0.179962,0.088249,0.012311,0.129536,0.153271,0.079020,0.690266,0.392572,0.001000,0.999999,0.002636
0.392120,0.001677,0.000858,0.422116,0.001838,0.004397,0.122244,0.170374,0.049954,0.773183,0.323752,0.008134,0.999916,0.025041
0.006327,0.000845,0.000375,0.001156,0.119048,0.235071,0.074228,0.206758,0.091596,0.587117,0.192564,0.058033,0.993152,0.216034
0.346759,0.071101,0.001362,0.337484,0.002766,0.006176,0.005019,0.252336,0.113262,0.985135,0.383921,0.001000,0.999999,0.002723
0.118917,0.000355,0.003563,0.004483,0.124504,0.111646,0.139334,0.222419,0.006126,0.635219,0.266686,0.001000,0.999998,0.003819
0.083095,0.001791,0.001397,0.143339,0.029685,0.043960,0.086522,0.108920,0.034110,0.748763,0.290543,0.001000,0.999999,0.003531
0.220405,0.002543,0.000838,0.269809,0.035627,0.038028,0.032929,0.229351,0.152901,0.941119,0.342706,0.001000,0.999999,0.003045
0.255627,0.001064,0.000596,0.128659,0.003236,0.079876,0.177988,0.149314,0.006722,1.059292,0.248743,0.001000,0.999998,0.004106
0.145921,0.004123,0.000553,0.245723,0.311290,0.121311,0.014912,0.333176,0.107707,0.519639,0.282965,0.001000,0.999998,0.003615
0.195075,0.128633,0.003197,0.085854,0.160039,0.188360,0.044784,0.086058,0.007700,0.663578,0.307036,0.001000,0.999998,0.003293
0.267765,0.004329,0.000652,0.236347,0.001198,0.044490,0.127157,0.184268,0.001832,0.782801,0.290668,0.001425,0.999997,0.005001
0.085540,0.000723,0.000678,0.092205,0.063536,0.119144,0.001504,0.316471,0.164426,0.527416,0.257109,0.001000,0.999998,0.004026
0.029847,0.002160,0.000634,0.012637,0.112223,0.155512,0.037316,0.189910,0.117628,0.744412,0.300559,0.011578,0.999836,0.037564
0.075138,0.000403,0.000386,0.075838,0.089979,0.089860,0.002145,0.302904,0.190753,0.700244,0.256448,0.001000,0.999998,0.004042
0.006716,0.001896,0.001014,0.190469,0.028544,0.009968,0.001349,0.200082,0.205045,0.731197,0.343851,0.001139,0.999999,0.003492
0.040852,0.001008,0.000805,0.135849,0.146388,0.122075,0.110563,0.182217,0.146173,0.730457,0.235694,0.018334,0.999405,0.072380
0.176620,0.000760,0.003393,0.148948,0.134052,0.104023,0.001899,0.284839,0.107148,0.647973,0.242398,0.001000,0.999998,0.004218
0.000915,0.000435,0.006541,0.205051,0.206255,0.003625,0.062213,0.324035,0.078376,0.536306,0.284083,0.035948,0.998455,0.110874
0.074294,0.003929,0.006964,0.211657,0.184744,0.001473,0.080875,0.224468,0.044250,0.736607,0.344053,0.001000,0.999999,0.002999
0.111701,0.000590,0.028413,0.092597,0.166114,0.090733,0.007836,0.308937,0.092031,0.529105,0.249322,0.001000,0.999998,0.004114
0.349152,0.000630,0.003027,0.543704,0.123240,0.005078,0.244202,0.183866,0.121028,0.768168,0.299915,0.001000,0.999999,0.003444
0.001207,0.001350,0.000762,0.078609,0.216144,0.138795,0.200324,0.204746,0.036507,0.563173,0.251354,0.004950,0.999947,0.019497
0.058948,0.000943,0.000680,0.075208,0.178410,0.136367,0.005504,0.200840,0.139834,0.774564,0.313988,0.046830,0.998257,0.128157
0.160026,0.001416,0.017322,0.111488,0.170077,0.100684,0.002195,0.186383,0.061058,0.459628,0.216586,0.008099,0.999796,0.036208
0.505427,0.080833,0.000862,0.510284,0.154059,0.148253,0.279875,0.107692,0.014995,0.780781,0.340921,0.001000,0.999999,0.002967
0.325051,0.017377,0.001087,0.154416,0.154499,0.127870,0.002636,0.158992,0.110532,0.742609,0.239745,0.001060,0.999997,0.004501
0.001971,0.001238,0.000616,0.073202,0.090890,0.105632,0.067494,0.242216,0.166621,0.556614,0.256700,0.037854,0.997737,0.125782
0.210010,0.000403,0.005278,0.144679,0.028578,0.158531,0.014348,0.171352,0.212114,0.804139,0.247526,0.001000,0.999998,0.004168
0.144055,0.001645,0.001006,0.121679,0.115043,0.203779,0.006479,0.227139,0.229296,0.688077,0.254552,0.039862,0.997726,0.132395
0.109446,0.000547,0.000609,0.268570,0.153785,0.053529,0.201816,0.274472,0.081457,0.625774,0.274431,0.004744,0.999960,0.017368
0.148582,0.000534,0.000555,0.152670,0.243150,0.197757,0.005636,0.359729,0.133341,0.719340,0.300771,0.001788,0.999996,0.006047
0.012266,0.001639,0.001124,0.007695,0.002144,0.091176,0.001767,0.156112,0.104867,0.758358,0.364712,0.001000,0.999999,0.002839
0.070417,0.027498,0.000646,0.002202,0.159378,0.121100,0.024284,0.236563,0.099015,0.528354,0.243753,0.001000,0.999997,0.004192
0.077186,0.000733,0.001105,0.021138,0.103189,0.253770,0.098568,0.200737,0.195699,0.909727,0.358845,0.001859,0.999997,0.005301
0.038967,0.000473,0.025220,0.254256,0.044779,0.001362,0.080640,0.051470,0.033086,0.753621,0.289805,0.008393,0.999919,0.029119
0.137607,0.000751,0.002063,0.314959,0.002931,0.021525,0.118216,0.077758,0.004597,0.650522,0.345621,0.008289,0.999933,0.023901
0.272293,0.001886,0.000557,0.319478,0.008422,0.083373,0.050579,0.132950,0.123074,0.726485,0.291267,0.005083,0.999962,0.017618
0.027416,0.000907,0.001636,0.124083,0.157737,0.209491,0.099891,0.230023,0.103609,0.747746,0.356203,0.001000,0.999999,0.002870
0.144682,0.003175,0.001782,0.072003,0.150261,0.186669,0.019114,0.240176,0.231193,0.713710,0.327853,0.001438,0.999997,0.004501
0.118265,0.000835,0.000596,0.005625,0.002144,0.116248,0.004495,0.138315,0.005696,0.940456,0.313963,0.014632,0.999779,0.045159
0.218490,0.001199,0.000824,0.244498,0.273959,0.168734,0.190604,0.296938,0.154805,0.853967,0.280082,0.001000,0.999998,0.003643
0.066625,0.000617,0.000900,0.280278,0.125599,0.040663,0.004494,0.108839,0.078952,0.468470,0.267507,0.025249,0.999100,0.085692
0.339502,0.000781,0.001456,0.352625,0.101663,0.004020,0.223997,0.190752,0.001738,0.899988,0.318826,0.001202,0.999998,0.003842
0.228083,0.000476,0.001272,0.244849,0.085331,0.208520,0.002284,0.208914,0.286494,0.616130,0.307518,0.001000,0.999999,0.003362
0.007091,0.001868,0.002369,0.029091,0.192958,0.214998,0.138503,0.213410,0.024669,0.779918,0.291290,0.001000,0.999999,0.003473
0.009394,0.001911,0.046232,0.119326,0.333529,0.079309,0.010156,0.331599,0.092410,0.623942,0.356892,0.001000,0.999999,0.002898
0.205345,0.002224,0.000685,0.140722,0.001028,0.176175,0.039043,0.200719,0.133182,0.725061,0.202249,0.036859,0.996772,0.149947
0.003113,0.000555,0.001035,0.107450,0.196389,0.070359,0.013034,0.302066,0.066115,0.536500,0.255272,0.001000,0.999998,0.004016
0.268949,0.004914,0.001198,0.201825,0.004027,0.007546,0.005244,0.150685,0.059631,0.742703,0.283400,0.001321,0.999997,0.004789
0.373812,0.000676,0.001438,0.307411,0.141442,0.092418,0.152084,0.131428,0.049832,0.727368,0.282089,0.001000,0.999998,0.003600
0.114938,0.001455,0.000779,0.217640,0.066633,0.105307,0.133304,0.080979,0.011177,0.930780,0.362357,0.001426,0.999999,0.004037
0.039180,0.001296,0.001266,0.003016,0.047920,0.002463,0.119310,0.257122,0.050758,0.845154,0.343783,0.001000,0.999999,0.003018
0.006498,0.000576,0.000864,0.158308,0.292429,0.034063,0.001240,0.400634,0.092284,0.493171,0.281235,0.001000,0.999998,0.003674
0.272191,0.000583,0.000785,0.152378,0.030936,0.138956,0.040199,0.280846,0.088219,0.803896,0.273216,0.008517,0.999870,0.030772
0.398498,0.000679,0.000586,0.197636,0.019834,0.158950,0.005152,0.265174,0.075859,0.784250,0.298273,0.001000,0.999998,0.003435
0.084722,0.001116,0.001154,0.002475,0.206108,0.059080,0.010426,0.326751,0.020966,0.633956,0.227840,0.009796,0.999760,0.041449
0.198627,0.001138,0.001066,0.375659,0.213611,0.178714,0.235713,0.190829,0.133201,0.661379,0.266146,0.001001,0.999998,0.003828
0.185473,0.001563,0.000840,0.028770,0.003782,0.261715,0.003824,0.331946,0.154815,0.827070,0.289997,0.001000,0.999998,0.003565
0.166947,0.000311,0.025130,0.346033,0.111598,0.002172,0.057325,0.213279,0.002186,0.600944,0.325383,0.001000,0.999999,0.003163
0.189432,0.000836,0.000700,0.085539,0.005054,0.101571,0.006533,0.203562,0.123422,0.818800,0.316705,0.001966,0.999995,0.006375
0.274454,0.010403,0.001945,0.139428,0.002282,0.117185,0.068393,0.080627,0.050571,0.817716,0.295599,0.014952,0.999683,0.048416
0.142764,0.001002,0.000954,0.002065,0.191412,0.116263,0.090996,0.259733,0.085155,1.043612,0.249248,0.006854,0.999919,0.027303
0.481962,0.124500,0.000852,0.602725,0.141013,0.151840,0.322963,0.103510,0.000935,0.832087,0.355995,0.008710,0.999922,0.024022
0.568224,0.000728,0.000548,0.472789,0.299453,0.042361,0.113653,0.338444,0.005890,1.118308,0.289762,0.002937,0.999989,0.010277
0.025409,0.000869,0.000622,0.052119,0.007069,0.114796,0.176564,0.140862,0.017722,0.690716,0.308632,0.001000,0.999999,0.003313
0.240904,0.046974,0.000556,0.161281,0.018193,0.066065,0.098361,0.118355,0.065382,0.810156,0.272251,0.018976,0.999410,0.065403
0.020161,0.000741,0.000768,0.121280,0.157166,0.090941,0.190383,0.133084,0.031493,0.618767,0.238598,0.003341,0.999975,0.014024
0.056306,0.000884,0.000939,0.051552,0.365130,0.313184,0.002501,0.498242,0.353198,0.531495,0.303755,0.001000,0.999998,0.003400
0.120052,0.001053,0.001527,0.180006,0.111066,0.124659,0.063512,0.253230,0.060615,0.505257,0.286803,0.001000,0.999998,0.003559
0.251283,0.001024,0.000511,0.245801,0.046190,0.059100,0.015276,0.187914,0.005353,1.095952,0.418931,0.004675,0.999989,0.011438
0.213463,0.000519,0.000948,0.126997,0.028840,0.003976,0.009736,0.165099,0.027303,0.685361,0.324413,0.001000,0.999999,0.003166
0.055877,0.000572,0.001297,0.171626,0.036192,0.038592,0.019718,0.149932,0.031472,0.530175,0.299871,0.001000,0.999998,0.003429
0.178187,0.001145,0.000742,0.147757,0.082043,0.148344,0.151642,0.251213,0.078586,0.655942,0.302763,0.001000,0.999998,0.003374
0.453927,0.043711,0.001391,0.476259,0.187372,0.106095,0.069671,0.237914,0.130272,0.764538,0.291903,0.002244,0.999992,0.007828
0.097338,0.000611,0.002111,0.139087,0.063297,0.096069,0.003913,0.127257,0.128430,0.653776,0.279111,0.001369,0.999997,0.005041
0.220881,0.000612,0.001576,0.235854,0.003358,0.002366,0.074359,0.211985,0.024188,0.618936,0.293916,0.001000,0.999998,0.003501
0.138125,0.000899,0.000613,0.102893,0.008696,0.103830,0.009054,0.111357,0.151936,0.658005,0.275194,0.001000,0.999998,0.003748
0.010549,0.000525,0.000857,0.003490,0.155041,0.055697,0.001098,0.244287,0.042977,0.570579,0.288536,0.028907,0.998901,0.089686
0.209393,0.000749,0.000772,0.232405,0.046424,0.049949,0.001590,0.325488,0.001329,0.584538,0.306729,0.002429,0.999991,0.008091
0.070383,0.000436,0.000784,0.093141,0.052377,0.057041,0.001630,0.212018,0.149464,0.854975,0.340180,0.001000,0.999999,0.003060
0.404174,0.000691,0.000808,0.372883,0.058256,0.065296,0.155839,0.243058,0.020121,0.752982,0.251192,0.001000,0.999998,0.004056
0.008728,0.002816,0.001464,0.081400,0.063546,0.023379,0.059206,0.110939,0.008115,0.731329,0.289064,0.001949,0.999995,0.006892
0.000672,0.004765,0.000768,0.074321,0.318121,0.120938,0.114012,0.382424,0.141584,0.603256,0.260445,0.005842,0.999934,0.022402
0.198855,0.003180,0.000833,0.183746,0.001742,0.063179,0.012442,0.078552,0.095973,0.923427,0.292059,0.001000,0.999999,0.003544
0.013413,0.002329,0.001013,0.075691,0.429527,0.065958,0.016931,0.410404,0.086066,0.617835,0.295487,0.001000,0.999999,0.003488
0.171827,0.094332,0.076845,0.103443,0.245352,0.001666,0.002865,0.264243,0.004801,0.507187,0.258256,0.020797,0.999093,0.074033
0.034248,0.000682,0.001556,0.022105,0.025707,0.011384,0.013538,0.073394,0.036196,0.521521,0.238741,0.001000,0.999997,0.004310
0.170160,0.002100,0.000918,0.172174,0.090771,0.032292,0.003283,0.219464,0.124812,0.717306,0.317676,0.001049,0.999999,0.003406
0.159950,0.000517,0.001060,0.136556,0.090392,0.032077,0.002043,0.322020,0.133125,0.745621,0.329308,0.001000,0.999999,0.003148
0.151576,0.000758,0.001519,0.272453,0.150804,0.005783,0.121766,0.160558,0.031389,0.775549,0.317301,0.001010,0.999999,0.003269
0.179764,0.001526,0.001940,0.215576,0.170393,0.065740,0.149585,0.357390,0.133575,0.629100,0.249879,0.001000,0.999998,0.004123
0.171927,0.000791,0.000946,0.277024,0.110447,0.213887,0.249597,0.191811,0.242767,0.634901,0.286907,0.010111,0.999828,0.034563
0.111562,0.054198,0.000622,0.031028,0.000711,0.181361,0.024004,0.217407,0.146710,0.745422,0.276188,0.037811,0.997961,0.119345
0.070380,0.000253,0.001784,0.004432,0.147096,0.136342,0.005164,0.228184,0.209431,0.656758,0.237770,0.001000,0.999998,0.004328
0.005965,0.000517,0.021722,0.213672,0.046323,0.001398,0.115787,0.182840,0.032212,0.528018,0.250020,0.001458,0.999995,0.005995
0.018650,0.001404,0.009556,0.122019,0.303486,0.114119,0.071337,0.228409,0.082907,0.741973,0.325135,0.001000,0.999999,0.003164
0.253265,0.000330,0.001190,0.310934,0.004603,0.012162,0.174103,0.005066,0.036854,0.629894,0.215848,0.022461,0.998723,0.093000
0.242627,0.000546,0.001467,0.229173,0.083736,0.053135,0.041617,0.169040,0.111409,0.649747,0.259697,0.001000,0.999998,0.003951
0.038625,0.001023,0.007660,0.127230,0.203133,0.112111,0.004269,0.284439,0.051398,0.387105,0.254496,0.007068,0.999891,0.027296
